"time","powercon2.negFlow.y","powercon2.posFlow.y","powercon1.negFlow.y","powercon1.posFlow.y","der(powercon2.negFlow.y)","der(powercon2.posFlow.y)","der(powercon1.negFlow.y)","der(powercon1.posFlow.y)","signalsource1.pulse1.T0","signalsource1.pulse1.y","signalsource1.trapezoid1.T0","signalsource1.trapezoid1.y","signalsource1.sine1.y","signalsource1.add3.u2","signalsource1.add3.u1","signalsource1.y","powercon2.posPower.y","powercon2.negPower.y","powercon2.negPower.u","powercon2.y","eta1.switch1.u3","eta1.switch1.u1","powercon1.posPower.y","powercon1.negPower.y","powercon1.negPower.u","signalsource1.pulse1.T_width","signalsource1.trapezoid1.counter2","signalsource1.trapezoid1.counter","eta1.switch1.u2","eta1.const.y","signalsource1.const.y","powercon1.negFlow.u","powercon1.posFlow.u","powercon1.gain2.u","powercon1.posPower.u","powercon1.u","powercon1.gain2.y","eta1.gain2.y","eta1.gain1.y","eta1.gain1.u","eta1.gain2.u","eta1.greaterequal1.u1","eta1.switch1.y","eta1.greaterequal1.u2","powercon2.negFlow.u","powercon2.posFlow.u","powercon2.gain2.u","powercon2.posPower.u","powercon2.u","powercon2.gain2.y","signalsource1.add2.y","signalsource1.add1.y","signalsource1.add3.y","signalsource1.add2.u2","signalsource1.add2.u1","signalsource1.add1.u2","signalsource1.add1.u1","eta1.y","eta1.u","powercon1.y","eta1.greaterequal1.y",
0,0,0,0,0,1,0,1,0,0,0,0.25,0,0,0,-1,-1,0,1,1.25,-1.25,-1.25,-0.8,0,1,1,0.5,-1,-1,0,0,0.25,1,0,-1,-1,-1,1,-1.25,-0.8,-1,-1,-1,-1.25,0,1,0,-1.25,-1.25,-1.25,1.25,0,-1,-1,0,0,0.25,0,-1.25,-1,-1,0,
0,0,0,0,0,1,0,1,0,0,0,0.25,0,0,0,-1,-1,0,1,1.25,-1.25,-1.25,-0.8,0,1,1,0.5,-1,-1,0,0,0,1,0,-1,-1,-1,1,-1.25,-0.8,-1,-1,-1,-1.25,0,1,0,-1.25,-1.25,-1.25,1.25,0,-1,-1,0,0,0,0,-1.25,-1,-1,0,
7.450580596923829e-10,7.450580596923829e-10,0,7.450580596923829e-10,0,1,0,1,0,0,0,0.25,0,0,0,-1,-1,0,1,1.25,-1.25,-1.25,-0.8,0,1,1,0.5,-1,-1,0,0,0,1,0,-1,-1,-1,1,-1.25,-0.8,-1,-1,-1,-1.25,0,1,0,-1.25,-1.25,-1.25,1.25,0,-1,-1,0,0,0,0,-1.25,-1,-1,0,
0.1,0.1,0,0.1,0,1,0,1,0,0,0,0.25,0,0,0,-1,-1,0,1,1.25,-1.25,-1.25,-0.8,0,1,1,0.5,-1,-1,0,0,0.25,1,0,-1,-1,-1,1,-1.25,-0.8,-1,-1,-1,-1.25,0,1,0,-1.25,-1.25,-1.25,1.25,0,-1,-1,0,0,0.25,0,-1.25,-1,-1,0,
0.2,0.2,0,0.2,0,1,0,1,0,0,0,0.25,0,0,0,-1,-1,0,1,1.25,-1.25,-1.25,-0.8,0,1,1,0.5,-1,-1,0,0,0.25,1,0,-1,-1,-1,1,-1.25,-0.8,-1,-1,-1,-1.25,0,1,0,-1.25,-1.25,-1.25,1.25,0,-1,-1,0,0,0.25,0,-1.25,-1,-1,0,
0.25,0.25,0,0.25,0,1,0,1,0,0,0,0.25,0,0,0,-1,-1,0,1,1.25,-1.25,-1.25,-0.8,0,1,1,0.5,-1,-1,0,0,0,1,0,-1,-1,-1,1,-1.25,-0.8,-1,-1,-1,-1.25,0,1,0,-1.25,-1.25,-1.25,1.25,0,-1,-1,0,0,0,0,-1.25,-1,-1,0,
0.25,0.25,0,0.25,0,1,0,1,0,0,0,0.25,0,0,0,-1,-1,0,1,1.25,-1.25,-1.25,-0.8,0,1,1,0.5,-1,-1,0,0,0,1,0,-1,-1,-1,1,-1.25,-0.8,-1,-1,-1,-1.25,0,1,0,-1.25,-1.25,-1.25,1.25,0,-1,-1,0,0,0,0,-1.25,-1,-1,0,
0.25,0.25,0,0.25,0,1,0,1,0,0,0,0.25,0,0,0,-1,-1,0,1,1.25,-1.25,-1.25,-0.8,0,1,1,0.5,-1,-1,0,0,0,1,0,-1,-1,-1,1,-1.25,-0.8,-1,-1,-1,-1.25,0,1,0,-1.25,-1.25,-1.25,1.25,0,-1,-1,0,0,0,0,-1.25,-1,-1,0,
0.25,0.25,0,0.25,0,1,0,1,0,0,0,0.25,0,0,0,-1,-1,0,1,1.25,-1.25,-1.25,-0.8,0,1,1,0.5,-1,-1,0,0,0.25,1,0,-1,-1,-1,1,-1.25,-0.8,-1,-1,-1,-1.25,0,1,0,-1.25,-1.25,-1.25,1.25,0,-1,-1,0,0,0.25,0,-1.25,-1,-1,0,
0.2500000007450581,0.2500000007450581,0,0.250000000372529,0,1,0,0.9999999850988386,0,0,0,0.25,1.490116141589226e-08,0,0,-0.9999999850988386,-0.9999999850988386,0,1,1.249999981373548,-1.249999981373548,-1.249999981373548,-0.7999999880790709,0,0.9999999850988386,0.9999999850988386,0.5,-1,-1,0,0,0.25,0.9999999850988386,0,-0.9999999850988386,-0.9999999850988386,-0.9999999850988386,0.9999999850988386,-1.249999981373548,-0.7999999880790709,-0.9999999850988386,-0.9999999850988386,-0.9999999850988386,-1.249999981373548,0,1,0,-1.249999981373548,-1.249999981373548,-1.249999981373548,1.249999981373548,0,-0.9999999850988386,-0.9999999850988386,0,0,0.25,1.490116141589226e-08,-1.249999981373548,-0.9999999850988386,-0.9999999850988386,0,
